hit_no,accession,hit_title,score,bit_score,e_value,identity_%,similarity_%,gaps,align_len
1,P04637,P53_HUMAN Cellular tumor antigen p53 OS=Homo sapiens OX=9606 GN=TP53 PE=1 SV=4,2121,821.6,0.0,100.0,100.0,0,393
2,P56424,P53_MACMU Cellular tumor antigen p53 OS=Macaca mulatta OX=9544 GN=TP53 PE=2 SV=1,2038,789.6,0.0,95.67,97.2,0,393
3,P61260,P53_MACFU Cellular tumor antigen p53 OS=Macaca fuscata fuscata OX=9543 GN=TP53 PE=2 SV=1,2038,789.6,0.0,95.67,97.2,0,393
4,P56423,P53_MACFA Cellular tumor antigen p53 OS=Macaca fascicularis OX=9541 GN=TP53 PE=2 SV=2,2038,789.6,0.0,95.67,97.2,0,393
5,P13481,P53_CHLAE Cellular tumor antigen p53 OS=Chlorocebus aethiops OX=9534 GN=TP53 PE=1 SV=1,2032,787.3,0.0,95.67,96.95,0,393
6,Q9TTA1,P53_TUPBE Cellular tumor antigen p53 OS=Tupaia belangeri OX=37347 GN=TP53 PE=2 SV=1,1970,763.5,0.0,93.13,95.17,0,393
7,O36006,P53_MARMO Cellular tumor antigen p53 OS=Marmota monax OX=9995 GN=TP53 PE=2 SV=1,1792,694.9,0.0,86.01,90.33,1,393
8,Q95330,P53_RABIT Cellular tumor antigen p53 OS=Oryctolagus cuniculus OX=9986 GN=TP53 PE=2 SV=1,1777,689.1,0.0,86.04,90.36,2,394
9,Q8SPZ3,P53_DELLE Cellular tumor antigen p53 OS=Delphinapterus leucas OX=9749 GN=TP53 PE=2 SV=1,1763,683.7,0.0,85.53,89.34,4,394
10,Q9TUB2,P53_PIG Cellular tumor antigen p53 OS=Sus scrofa OX=9823 GN=TP53 PE=2 SV=1,1663,645.2,0.0,82.53,87.59,5,395
11,P41685,P53_FELCA Cellular tumor antigen p53 OS=Felis catus OX=9685 GN=TP53 PE=2 SV=1,1643,637.5,0.0,80.46,86.04,4,394
12,Q29537,P53_CANLF Cellular tumor antigen p53 OS=Canis lupus familiaris OX=9615 GN=TP53 PE=2 SV=2,1641,636.7,0.0,80.46,86.04,7,394
13,P67939,P53_BOVIN Cellular tumor antigen p53 OS=Bos taurus OX=9913 GN=TP53 PE=2 SV=1,1622,629.4,0.0,80.2,85.79,4,394
14,P67938,P53_BOSIN Cellular tumor antigen p53 OS=Bos indicus OX=9915 GN=TP53 PE=2 SV=1,1622,629.4,0.0,80.2,85.79,4,394
15,Q9WUR6,P53_CAVPO Cellular tumor antigen p53 OS=Cavia porcellus OX=10141 GN=TP53 PE=2 SV=1,1612,625.5,0.0,78.23,84.56,3,395
16,Q00366,P53_MESAU Cellular tumor antigen p53 OS=Mesocricetus auratus OX=10036 GN=TP53 PE=2 SV=1,1605,622.9,0.0,78.3,84.29,6,401
17,P51664,P53_SHEEP Cellular tumor antigen p53 OS=Ovis aries OX=9940 GN=TP53 PE=2 SV=1,1602,621.7,0.0,78.93,84.77,6,394
18,O09185,P53_CRIGR Cellular tumor antigen p53 OS=Cricetulus griseus OX=10029 GN=TP53 PE=2 SV=1,1587,615.9,0.0,77.16,83.76,1,394
19,P10361,P53_RAT Cellular tumor antigen p53 OS=Rattus norvegicus OX=10116 GN=Tp53 PE=1 SV=1,1550,601.7,0.0,77.02,83.08,4,396
20,P02340,P53_MOUSE Cellular tumor antigen p53 OS=Mus musculus OX=10090 GN=Tp53 PE=1 SV=4,1549,601.3,0.0,77.35,82.95,3,393
